seller_id,seller_city,seller_state,total_orders,total_transaction_revenue,total_freight_value,total_payment_value,average_order_value,average_review_score,first_order_month,last_order_month,active_months,total_products_sold,processing_time_days,total_subscription_fee
0015a82c2db000af6aaaf3ae2ecb0532,santo andre,SP,1.0,274.79999999999995,63.06,2748.06,895.0,5.0,2017-09,2017-10,2,1,1.7283217592592592,91.8
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,11.0,4715.28,8631.93,47151.700000000004,99.0,5.0,2017-02,2018-07,17,5,1.7280092592592593,780.3
002100f778ceb8431b7a1020ff7ab48f,franca,SP,6.0,241.34,810.42,2412.64,17.9,5.0,2017-09,2018-04,8,2,2.6410300925925925,367.2
003554e2dce176b5555353e4f3555ac8,goiania,GO,1.0,13.94,19.38,139.38,120.0,5.0,2017-12,2017-12,1,1,0.5236226851851852,45.9
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,9.0,2753.4,4033.38,27533.95,109.99,5.0,2017-01,2018-05,17,4,1.047997685185185,780.3
00720abe85ba0859807595bbf045a33b,guarulhos,SP,1.0,311.84999999999997,315.98,3118.4,14.8,4.0,2018-01,2018-08,8,7,1.825798611111111,367.2
00ab3eff1b5192e5f1a63bcecfee11c8,sao paulo,SP,1.0,11.01,12.08,110.08,98.0,5.0,2017-03,2017-03,1,1,3.898761574074074,45.9
00d8b143d12632bad99c0ad66ad52825,belo horizonte,MG,1.0,13.71,51.1,137.1,86.0,5.0,2018-03,2018-03,1,1,1.6170833333333334,45.9
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,11.0,3492.36,3171.43,34923.34,110.0,5.0,2017-09,2018-07,11,8,1.2709143518518518,504.9
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,17.0,2792.09,2356.71,27921.49,86.0,4.0,2018-01,2018-06,6,5,1.9182349537037036,275.4
010543a62bd80aa422851e79a3bc7540,sao paulo,SP,1.0,144.79000000000002,31.950000000000003,1447.95,708.0,4.5,2017-07,2017-08,2,1,2.8833506944444443,91.8
010da0602d7774602cd1b3f5fb7b709e,sao bernardo do campo,SP,1.0,539.9,230.25,5398.75,169.9,1.0,2018-06,2018-06,1,5,20.720659722222223,45.9
011b0eaba87386a2ae96a7d32bb531d1,pompeia,SP,1.0,25.84,29.18,258.32,49.99,4.0,2016-10,2016-10,1,2,14.547708333333333,45.9
01266d4c46afa519678d16a8b683d325,curitiba,PR,3.0,13.76,47.230000000000004,137.48,23.4,5.0,2018-08,2018-08,1,1,0.8200810185185186,45.9
013900e863eace745d3ec7614cab5b1a,curitiba,PR,3.0,265.93,483.77,2659.19,56.8,5.0,2017-03,2018-04,7,3,2.0930439814814816,321.3
014c0679dd340a0e338872e7ec85666a,timoteo,MG,1.0,842.36,649.65,8423.67,379.0,4.0,2017-01,2018-07,12,2,4.214143518518519,550.8
014d9a685fd57276679edd00e07089e5,maringa,PR,2.0,131.76,146.93,1317.47,64.99,4.5,2017-11,2018-08,5,3,2.1833391203703703,229.5
0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,3.0,631.37,1282.8500000000001,6313.18,122.9,5.0,2017-11,2018-08,10,2,1.4181828703703703,459.0
01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,2.0,164.48000000000002,303.68,1644.69,119.57,4.0,2017-08,2018-02,5,1,0.6466493055555556,229.5
01c97ebb5cdac52891c0ed1c37ba0012,catanduva,SP,1.0,119.39,178.5,1193.8600000000001,29.4,4.5,2017-04,2018-07,6,2,0.5171006944444445,275.4
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,5.0,1231.38,2287.73,12313.56,90.59,5.0,2016-10,2018-02,10,3,2.0480266203703703,459.0
01ed254b9ff8407dfb9d99ba1e17d923,mogi das cruzes,SP,1.0,153.36,67.72,1533.71,339.0,5.0,2017-08,2017-11,4,1,0.815,183.6
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,6.0,324.72,588.15,3247.48,38.0,5.0,2018-04,2018-08,5,6,1.0019791666666666,229.5
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,7.0,1784.62,2770.25,17845.2,99.9,5.0,2017-04,2018-08,17,2,1.1134085648148146,780.3
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,21.0,4129.3,7204.18,41292.9,99.9,5.0,2017-10,2018-08,11,2,1.2127256944444444,504.9
0249d282d911d23cb8b869ab49c99f53,sao paulo,SP,2.0,57.0,138.88,570.03,31.0,5.0,2017-09,2018-03,4,1,2.550972222222222,183.6
024b564ae893ce8e9bfa02c10a401ece,sao paulo,SP,1.0,433.76,212.0,4337.6,77.9,5.0,2016-10,2017-02,2,6,14.565787037037037,91.8
028872bfa080090a9d0abd4f1af168f8,ribeirao das neves,MG,1.0,35.37,47.37,353.61,23.5,5.0,2017-08,2017-08,1,3,4.328159722222222,45.9
02b72cdeb9cfcc429f1af6f4e3f3b737,ibitinga,SP,2.0,74.87,225.99,748.64,129.075,5.0,2018-07,2018-08,2,1,0.6950462962962963,91.8
02c988090b766852e088c69d7fb3b551,americana,SP,1.0,194.97,222.48,1949.55,37.79,5.0,2017-07,2018-08,11,5,0.9747453703703703,504.9
02d35243ea2e497335cd0f076b45675d,natal,RN,1.0,840.87,605.95,8408.63,249.0,3.0,2017-04,2018-08,8,2,9.954756944444444,367.2
02dcd3e8e25bee036e32512bcf175493,contagem,MG,2.0,202.77,281.59,2027.55,95.0,5.0,2018-02,2018-08,6,2,3.4702777777777776,275.4
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,2.0,784.42,493.49,7844.22,238.1,5.0,2017-06,2018-08,10,3,3.122037037037037,459.0
02f5837340d7eb4f653d676c7256523a,curitiba,PR,3.0,446.47,580.83,4463.88,129.99,5.0,2017-11,2018-08,8,1,2.018755787037037,367.2
02f623a8eb246f3c5f7c2f96462654e6,botucatu,SP,8.0,667.92,762.19,6678.85,139.5,5.0,2018-04,2018-08,5,1,0.6910590277777777,229.5
0307f7565ff85b299b6e5ef162b1b1a9,sao jose do rio preto,SP,1.0,496.88,278.91,4968.89,724.0,2.5,2016-10,2017-05,4,1,5.547667824074074,183.6
0336182e1b3e92f029d5354832045fdf,ibitinga,SP,1.0,32.48,17.57,324.78,14.9,2.0,2016-10,2016-10,1,2,8.85212962962963,45.9
034b9387752bfa309f350a70cd45ffa3,blumenau,SC,2.0,24.02,162.49,240.26,12.0,4.0,2018-04,2018-08,4,1,1.1843171296296295,183.6
038b75b729c8a9a04b0d07cba7eabe86,sao jose dos campos,SP,2.0,55.79,90.85,557.8499999999999,233.5,3.5,2018-04,2018-04,1,1,1.6829166666666666,45.9
039b29ff3b3473435d0cd59040575de9,ribeirao pires,SP,1.0,21.56,100.65,215.55,14.3,5.0,2018-04,2018-08,5,1,3.5835069444444443,229.5
039e6ad9dae79614493083e241147386,sao paulo,SP,1.0,1327.35,348.42,13273.42,2550.0,5.0,2018-04,2018-07,3,1,3.068275462962963,137.7
03a2a6dcbe45d639c4dc2a0d24769c40,maua,SP,2.0,125.08,172.25,1250.66,139.99,5.0,2018-03,2018-08,4,1,1.2748032407407408,183.6
03bd479e1d9484cdb14104d3023f7321,uberlandia,MG,1.0,59.64,57.72,596.41,119.9,5.0,2018-05,2018-07,2,1,5.888958333333333,91.8
0417b067eeab773d2f7061a726dc477f,sao bento do sul,SC,2.0,250.19,663.73,2501.75,94.78999999999999,5.0,2018-03,2018-08,5,1,1.131689814814815,229.5
042573af89b6d931f672efaf789d8358,sorocaba,SP,1.0,47.85,77.0,478.57,116.745,5.0,2018-01,2018-02,2,1,1.2423842592592593,91.8
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,10.0,6138.94,2927.23,61389.13,529.9,5.0,2017-11,2018-08,9,1,4.048668981481481,413.09999999999997
0432ead42b6c8a0bdf68154add917fdf,maua,SP,5.0,1021.06,1226.54,10210.48,89.9,5.0,2017-04,2018-07,14,2,0.9838483796296296,642.6
044668ccd5316b12a7cf0d54a156e3e9,osasco,SP,3.0,27.51,71.9,275.28999999999996,35.33,5.0,2018-08,2018-08,1,2,1.5976736111111112,45.9
04843805947f0fc584fc1969b6e50fe7,ivoti,RS,1.0,294.96,74.76,2949.52,700.0,5.0,2018-08,2018-08,1,2,8.85806712962963,45.9
048c2757535328e0d7dac690ad3c0aae,franca,SP,2.0,1009.46,1272.3,10094.06,199.7,5.0,2017-03,2018-08,17,1,2.3039583333333336,780.3
04aa0a1c5ce6b222003403a3e11c3cc0,cosmopolis,SP,1.0,1447.73,821.51,14477.19,329.0,4.0,2017-03,2018-01,7,4,3.3684143518518517,321.3
04aba03279157f6d4e0fe8ccaf21963c,santo antonio de padua,RJ,1.0,273.53,319.23,2735.23,130.0,5.0,2017-05,2018-08,10,1,2.345636574074074,459.0
04e38a233f726ef161074ab1c9b0399a,sao paulo,SP,2.0,200.46,368.25,2004.73,32.9,4.0,2017-09,2018-05,7,4,4.68662037037037,321.3
04ee0ec01589969663ba5967c0e0bdc0,lajeado,RS,1.0,31.43,24.83,314.32,289.49,5.0,2018-08,2018-08,1,1,0.15709490740740742,45.9
04fdea0c111866e6cf812f1570d6b5bd,sao paulo,SP,1.0,103.83,173.35,1038.35,95.0,3.5,2017-10,2018-02,5,1,4.796631944444444,229.5
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,5.0,590.52,1452.79,5904.8,28.99,5.0,2017-05,2018-08,15,3,1.2488078703703704,688.5
052577151711aec5c744fe12e66db3e1,rodeio,SC,1.0,72.96,42.65,729.65,687.0,5.0,2017-10,2017-10,1,1,6.088206018518519,45.9
054694fa03fe82cec4b7551487331d74,itajobi,SP,2.0,983.08,660.24,9830.95,439.0,4.0,2017-01,2018-04,10,2,4.699537037037037,459.0
056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,6.0,1308.29,1212.42,13082.960000000001,144.99,5.0,2017-12,2018-08,9,2,1.7930208333333333,413.09999999999997
0570350b23eda5444f8d1d9544932058,sao paulo,SP,3.0,216.97,124.86,2169.96,55.7,5.0,2018-04,2018-05,2,5,1.8565625,91.8
05730013efda596306417c3b09302475,criciuma,SC,2.0,116.85,216.67,1168.67,238.0,5.0,2018-07,2018-08,2,1,2.3280324074074072,91.8
058cb5aeb36d7c0fcae20fc85d5e0a59,rio de janeiro,RJ,1.0,210.24,747.82,2102.4,92.0,4.0,2017-09,2018-08,6,2,1.3492592592592594,275.4
058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,5.0,918.17,894.6,9182.0,119.8,5.0,2017-08,2018-06,11,2,1.2688483796296297,504.9
05a48cc8859962767935ab9087417fbb,sao paulo,SP,1.0,5.94,16.49,59.39,42.9,5.0,2018-08,2018-08,1,1,5.7977083333333335,45.9
05a940b4ecae36cadfd8e93bd9c43257,goiania,GO,1.0,86.4,169.0,864.0999999999999,43.9,5.0,2017-07,2018-02,6,1,2.248148148148148,275.4
05aebce0b5c8f0d41b29b686f2d05fd3,sao paulo,SP,1.0,12.09,45.89,120.88,37.495000000000005,5.0,2018-03,2018-08,2,1,1.4832118055555557,91.8
05ca864204d09595ae591b93ea9cf93d,barueri,SP,1.0,18.84,8.52,188.42,179.9,5.0,2018-08,2018-08,1,1,3.3971064814814813,45.9
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,5.0,802.8,1661.75,8027.76,58.0,5.0,2017-09,2018-08,11,2,1.3698958333333333,504.9
05e107217c7266362fd44b75b2cd4cc4,sao paulo - sp,SP,2.0,40.55,82.00999999999999,405.31,14.9,4.0,2018-06,2018-08,2,2,1.8178587962962962,91.8
